name,skills,powerscale,description,age,dclass_id,characteristics_id,universe_id
Itachi 43,"Dark magic, undead army, time stop",406958,A powerful warrior from another universe.,,4142,2937,167
Deku 44,"Soul reaper powers, bankai, hollow form",161560,A powerful warrior from another universe.,2731,3758,6404,465
Zenitsu 45,"Dark magic, undead army, time stop",24130,A powerful warrior from another universe.,,9704,2127,222
Josuke 46,"Breathing techniques, demon slayer mark",19503,A powerful warrior from another universe.,8953,9641,8701,166
Hulk 47,"Sharingan, Rinnegan, Susanoo, genjutsu",422326,A powerful warrior from another universe.,2920,9138,8082,435
Jotaro 48,"Speed force, time travel, infinite mass punch",856241,A powerful warrior from another universe.,,526,1067,345
Todoroki 49,"Stand power, time stop, vampirism",820604,A powerful warrior from another universe.,,1672,2822,107
Kazuma 50,"Dark magic, undead army, time stop",837606,A powerful warrior from another universe.,,712,8126,320
Kazuma 51,"Dark magic, undead army, time stop",214540,A powerful warrior from another universe.,,8419,7226,49
Thor 52,"Haki, devil fruit, conqueror haki",893720,A powerful warrior from another universe.,9993,7500,470,387
Jonathan 53,"Soul reaper powers, bankai, hollow form",602323,A powerful warrior from another universe.,5358,9258,3419,350
Zenitsu 54,"Firearms, explosives, tactical genius",616103,A powerful warrior from another universe.,,8127,1992,355
Kakashi 55,"Quirk: One for All, 100% Detroit Smash",754276,A powerful warrior from another universe.,,4471,1193,328
Saitama 56,"Stand power, time stop, vampirism",719984,A powerful warrior from another universe.,,9643,2412,455
Jotaro 57,"Soul reaper powers, bankai, hollow form",119305,A powerful warrior from another universe.,,4552,3930,333
Iron Man 58,"Haki, devil fruit, conqueror haki",842998,A powerful warrior from another universe.,1013,9856,1381,61
Aizen 59,"Stand power, time stop, vampirism",810013,A powerful warrior from another universe.,,1005,4660,347
Asuna 60,"Sharingan, Rinnegan, Susanoo, genjutsu",316581,A powerful warrior from another universe.,,5153,9499,394
Sasuke 61,"Quirk: One for All, 100% Detroit Smash",106888,A powerful warrior from another universe.,7484,8932,7445,397
Agil 62,"Breathing techniques, demon slayer mark",659008,A powerful warrior from another universe.,2619,4597,1743,8
Kirito 63,"Titan shifter, 3D maneuver gear",432289,A powerful warrior from another universe.,9148,9279,760,491
Spider Man 64,"Breathing techniques, demon slayer mark",750479,A powerful warrior from another universe.,6907,4310,1856,226
Klein 65,"Haki, devil fruit, conqueror haki",971747,A powerful warrior from another universe.,793,4878,146,33
Leafa 66,"Stand power, time stop, vampirism",923055,A powerful warrior from another universe.,8139,508,7839,297
Itachi 67,"Quirk: One for All, 100% Detroit Smash",405529,A powerful warrior from another universe.,8596,6795,1992,238
Hulk 68,"Sharingan, Rinnegan, Susanoo, genjutsu",569806,A powerful warrior from another universe.,1276,5557,957,165
Eren 69,"Ki manipulation, instant transmission, ultra instinct",346238,A powerful warrior from another universe.,2485,2815,8963,489
Giorno 70,"Dark magic, undead army, time stop",37532,A powerful warrior from another universe.,3534,8538,5440,288
Rengoku 71,"Stand power, time stop, vampirism",706695,A powerful warrior from another universe.,624,4592,7574,205
Endeavor 72,"Combat knife, martial arts, stealth",574817,A powerful warrior from another universe.,,6802,2975,51
Saitama 73,"Quirk: One for All, 100% Detroit Smash",785827,A powerful warrior from another universe.,8703,3838,6667,118
Luffy 74,"Combat knife, martial arts, stealth",414404,A powerful warrior from another universe.,152,3008,562,134
Giorno 75,"Breathing techniques, demon slayer mark",389442,A powerful warrior from another universe.,,2260,2075,372
Luffy 76,None,549175,A powerful warrior from another universe.,,9124,4846,142
Thanos 77,"Combat knife, martial arts, stealth",920295,A powerful warrior from another universe.,,512,1541,430
Itachi 78,"Speed force, time travel, infinite mass punch",278267,A powerful warrior from another universe.,5910,5348,5662,49
Iron Man 79,"Soul reaper powers, bankai, hollow form",736883,A powerful warrior from another universe.,3725,1904,260,333
Rimuru 80,None,692133,A powerful warrior from another universe.,,5304,2716,425
Klein 81,"Speed force, time travel, infinite mass punch",659232,A powerful warrior from another universe.,2990,2128,1043,17
Erwin 82,"Soul reaper powers, bankai, hollow form",96546,A powerful warrior from another universe.,,3428,8294,140
Iron Man 83,"Soul reaper powers, bankai, hollow form",225769,A powerful warrior from another universe.,,3418,8217,65
Kazuma 84,"Firearms, explosives, tactical genius",698107,A powerful warrior from another universe.,3242,6997,9695,192
Klein 85,"Slime abilities, unlimited shapeshifting",827816,A powerful warrior from another universe.,,7124,1816,158
Zenitsu 86,"Breathing techniques, demon slayer mark",596994,A powerful warrior from another universe.,867,1728,8111,340
Subaru 87,"Firearms, explosives, tactical genius",999559,A powerful warrior from another universe.,6508,6307,9684,73
Zoro 88,"Dark magic, undead army, time stop",601408,A powerful warrior from another universe.,,4094,6929,125
Bakugo 89,"Speed force, time travel, infinite mass punch",909553,A powerful warrior from another universe.,963,7460,16,401
Aizen 90,"Super strength, flight, laser vision",770693,A powerful warrior from another universe.,,6414,6492,236
Naruto 91,"Quirk: One for All, 100% Detroit Smash",226131,A powerful warrior from another universe.,2724,5708,1495,49
Batman 92,"Slime abilities, unlimited shapeshifting",463795,A powerful warrior from another universe.,,7604,1221,281
Kazuma 93,"Quirk: One for All, 100% Detroit Smash",155393,A powerful warrior from another universe.,,301,6248,484
Subaru 94,"Slime abilities, unlimited shapeshifting",179895,A powerful warrior from another universe.,5641,2396,6070,369
Emilia 95,"Super strength, flight, laser vision",79872,A powerful warrior from another universe.,4435,3438,513,331
Subaru 96,"Sharingan, Rinnegan, Susanoo, genjutsu",580958,A powerful warrior from another universe.,,5877,863,130
Sinon 97,"Soul reaper powers, bankai, hollow form",979701,A powerful warrior from another universe.,2904,9871,2023,376
Ichigo 98,None,142466,A powerful warrior from another universe.,6948,2017,6646,286
Kirito 99,"Firearms, explosives, tactical genius",785807,A powerful warrior from another universe.,,8882,232,294
Sinon 100,"Haki, devil fruit, conqueror haki",729763,A powerful warrior from another universe.,,9465,1986,159
Madara 101,"Dark magic, undead army, time stop",332304,A powerful warrior from another universe.,,8647,6475,261
Thanos 102,"Sharingan, Rinnegan, Susanoo, genjutsu",113615,A powerful warrior from another universe.,,6251,6091,430
Luffy 103,"Sharingan, Rinnegan, Susanoo, genjutsu",583843,A powerful warrior from another universe.,,9977,8886,95
Naruto 104,"Slime abilities, unlimited shapeshifting",431498,A powerful warrior from another universe.,,5968,6544,120
Ainz 105,"Firearms, explosives, tactical genius",901196,A powerful warrior from another universe.,,9823,2807,59
Kirito 106,"Haki, devil fruit, conqueror haki",963172,A powerful warrior from another universe.,5858,2435,3116,373
Asuna 107,"Firearms, explosives, tactical genius",908847,A powerful warrior from another universe.,,6395,327,500
Inosuke 108,"Slime abilities, unlimited shapeshifting",152217,A powerful warrior from another universe.,5522,2990,601,117
Levi 109,"Titan shifter, 3D maneuver gear",81573,A powerful warrior from another universe.,,9919,8028,242
Ainz 110,"Slime abilities, unlimited shapeshifting",465288,A powerful warrior from another universe.,,4161,6259,295
Zoro 111,"Slime abilities, unlimited shapeshifting",939588,A powerful warrior from another universe.,9149,2427,2436,429
Deku 112,"Stand power, time stop, vampirism",290780,A powerful warrior from another universe.,,114,6407,36
Iron Man 113,"Haki, devil fruit, conqueror haki",918156,A powerful warrior from another universe.,,8030,8428,118
Darkness 114,"Sharingan, Rinnegan, Susanoo, genjutsu",525380,A powerful warrior from another universe.,5757,7052,4302,103
Yui 115,"Firearms, explosives, tactical genius",704863,A powerful warrior from another universe.,2524,3382,1078,317
Deku 116,"Dark magic, undead army, time stop",295649,A powerful warrior from another universe.,,5099,9050,82
Gintoki 117,"Combat knife, martial arts, stealth",609285,A powerful warrior from another universe.,9761,9714,356,295
Itachi 118,None,916330,A powerful warrior from another universe.,,8825,6373,212
Erwin 119,"Ki manipulation, instant transmission, ultra instinct",666483,A powerful warrior from another universe.,403,8185,5684,295
Hawks 120,"Breathing techniques, demon slayer mark",842472,A powerful warrior from another universe.,,2514,4304,36
Levi 121,"Speed force, time travel, infinite mass punch",613032,A powerful warrior from another universe.,,610,9527,472
Naruto 122,"Super strength, flight, laser vision",119078,A powerful warrior from another universe.,6010,9845,5836,304
Hulk 123,"Slime abilities, unlimited shapeshifting",996414,A powerful warrior from another universe.,6085,3076,1984,140
Hawks 124,"Breathing techniques, demon slayer mark",874729,A powerful warrior from another universe.,3361,9922,4395,197
Batman 125,"Titan shifter, 3D maneuver gear",480555,A powerful warrior from another universe.,,3483,5402,478
Darkness 126,"Quirk: One for All, 100% Detroit Smash",823919,A powerful warrior from another universe.,,5379,5421,229
Batman 127,"Slime abilities, unlimited shapeshifting",674777,A powerful warrior from another universe.,1916,4542,5178,103
Inosuke 128,"Speed force, time travel, infinite mass punch",91021,A powerful warrior from another universe.,,4080,2805,85
Iron Man 129,"Sharingan, Rinnegan, Susanoo, genjutsu",803344,A powerful warrior from another universe.,,4224,1570,184
Dio 130,"Titan shifter, 3D maneuver gear",139879,A powerful warrior from another universe.,,5168,1695,166
Superman 131,"Ki manipulation, instant transmission, ultra instinct",626188,A powerful warrior from another universe.,4522,5011,2545,460
Luffy 132,"Speed force, time travel, infinite mass punch",168033,A powerful warrior from another universe.,4939,1090,1293,47
Madara 133,"Super strength, flight, laser vision",202403,A powerful warrior from another universe.,,4962,3183,397
Erwin 134,"Soul reaper powers, bankai, hollow form",131550,A powerful warrior from another universe.,9023,8435,4658,264
Rengoku 135,"Breathing techniques, demon slayer mark",939207,A powerful warrior from another universe.,,3403,8308,331
Sinon 136,"Dark magic, undead army, time stop",244562,A powerful warrior from another universe.,1802,4253,5942,14
Vegeta 137,None,520720,A powerful warrior from another universe.,645,1022,7027,41
Thanos 138,"Titan shifter, 3D maneuver gear",886875,A powerful warrior from another universe.,5286,1117,2631,100
Aqua 139,"Stand power, time stop, vampirism",785962,A powerful warrior from another universe.,6806,4979,6524,334
Sasuke 140,"Firearms, explosives, tactical genius",434983,A powerful warrior from another universe.,,7272,7965,136
Todoroki 141,"Sharingan, Rinnegan, Susanoo, genjutsu",908430,A powerful warrior from another universe.,,4106,5823,88
Agil 142,"Ki manipulation, instant transmission, ultra instinct",439440,A powerful warrior from another universe.,,9893,4120,93
Bakugo 143,"Combat knife, martial arts, stealth",46768,A powerful warrior from another universe.,,2521,2638,234
Sinon 144,"Haki, devil fruit, conqueror haki",576260,A powerful warrior from another universe.,27,2041,5590,41
Agil 145,"Combat knife, martial arts, stealth",774055,A powerful warrior from another universe.,5339,4222,4473,477
Saitama 146,"Sharingan, Rinnegan, Susanoo, genjutsu",653497,A powerful warrior from another universe.,6105,5761,6427,285
Captain America 147,"Dark magic, undead army, time stop",465687,A powerful warrior from another universe.,8605,1317,1798,197
Klein 148,"Stand power, time stop, vampirism",291154,A powerful warrior from another universe.,,1001,2103,467
Subaru 149,"Stand power, time stop, vampirism",773915,A powerful warrior from another universe.,,1838,8706,391
Gintoki 150,"Ki manipulation, instant transmission, ultra instinct",707091,A powerful warrior from another universe.,,7579,2557,301
Emilia 151,"Speed force, time travel, infinite mass punch",392581,A powerful warrior from another universe.,,1715,9841,248
Eren 152,"Sharingan, Rinnegan, Susanoo, genjutsu",419233,A powerful warrior from another universe.,,8182,2304,363
Gintoki 153,"Stand power, time stop, vampirism",162764,A powerful warrior from another universe.,1657,3423,2711,492
Bakugo 154,"Breathing techniques, demon slayer mark",418912,A powerful warrior from another universe.,3989,1025,3430,443
Thor 155,"Soul reaper powers, bankai, hollow form",578540,A powerful warrior from another universe.,5073,9520,8826,218
Erwin 156,"Speed force, time travel, infinite mass punch",549324,A powerful warrior from another universe.,5139,9645,6589,412
Vegeta 157,"Slime abilities, unlimited shapeshifting",727981,A powerful warrior from another universe.,6361,1226,2535,179
Aqua 158,"Firearms, explosives, tactical genius",80635,A powerful warrior from another universe.,,8149,7183,193
Sasuke 159,"Super strength, flight, laser vision",8492,A powerful warrior from another universe.,6812,5508,9511,402
Eren 160,"Ki manipulation, instant transmission, ultra instinct",934051,A powerful warrior from another universe.,,4768,7638,2
Ichigo 161,"Haki, devil fruit, conqueror haki",546060,A powerful warrior from another universe.,8616,7245,9821,179
Sasuke 162,"Soul reaper powers, bankai, hollow form",6824,A powerful warrior from another universe.,,5335,9434,138
Jotaro 163,"Ki manipulation, instant transmission, ultra instinct",978896,A powerful warrior from another universe.,8235,3731,1674,324
Iron Man 164,"Firearms, explosives, tactical genius",602231,A powerful warrior from another universe.,2706,6236,4691,126
Ainz 165,None,739723,A powerful warrior from another universe.,,2031,1362,461
Sinon 166,"Ki manipulation, instant transmission, ultra instinct",180010,A powerful warrior from another universe.,,1161,8499,498
Tanjiro 167,"Sharingan, Rinnegan, Susanoo, genjutsu",845589,A powerful warrior from another universe.,5862,7224,1298,381
Spider Man 168,"Ki manipulation, instant transmission, ultra instinct",436252,A powerful warrior from another universe.,1183,1975,4825,81
Goku 169,"Soul reaper powers, bankai, hollow form",192751,A powerful warrior from another universe.,,7877,3076,12
Superman 170,"Stand power, time stop, vampirism",296289,A powerful warrior from another universe.,,9391,1785,355
Saitama 171,"Quirk: One for All, 100% Detroit Smash",206349,A powerful warrior from another universe.,3144,8118,8484,178
Luffy 172,"Slime abilities, unlimited shapeshifting",805679,A powerful warrior from another universe.,,9889,1018,103
Spider Man 173,None,642011,A powerful warrior from another universe.,5326,9498,527,321
Kakashi 174,"Super strength, flight, laser vision",237108,A powerful warrior from another universe.,,7417,3837,98
Zenitsu 175,"Combat knife, martial arts, stealth",613268,A powerful warrior from another universe.,3281,3358,3739,269
Thor 176,"Combat knife, martial arts, stealth",260667,A powerful warrior from another universe.,,9622,9094,330
Luffy 177,"Sharingan, Rinnegan, Susanoo, genjutsu",629493,A powerful warrior from another universe.,,1402,6468,109
Subaru 178,"Ki manipulation, instant transmission, ultra instinct",88978,A powerful warrior from another universe.,6237,4708,3141,337
Thanos 179,"Haki, devil fruit, conqueror haki",620061,A powerful warrior from another universe.,,4785,1129,135
Darkness 180,"Haki, devil fruit, conqueror haki",196513,A powerful warrior from another universe.,,2954,3468,70
Emilia 181,"Soul reaper powers, bankai, hollow form",980711,A powerful warrior from another universe.,5855,4994,9380,234
Levi 182,"Breathing techniques, demon slayer mark",131626,A powerful warrior from another universe.,6501,1471,4943,274
Kakashi 183,"Super strength, flight, laser vision",585878,A powerful warrior from another universe.,7947,472,9049,457
Goku 184,"Slime abilities, unlimited shapeshifting",97069,A powerful warrior from another universe.,,5875,1011,262
Kirito 185,"Super strength, flight, laser vision",297504,A powerful warrior from another universe.,,2983,959,412
Asuna 186,"Combat knife, martial arts, stealth",275350,A powerful warrior from another universe.,,1933,7448,107
Zoro 187,"Firearms, explosives, tactical genius",528143,A powerful warrior from another universe.,5000,6427,8040,449
Superman 188,"Slime abilities, unlimited shapeshifting",195185,A powerful warrior from another universe.,3005,9892,3180,238
Gintoki 189,"Sharingan, Rinnegan, Susanoo, genjutsu",988050,A powerful warrior from another universe.,,6122,9850,144
Rengoku 190,"Firearms, explosives, tactical genius",753326,A powerful warrior from another universe.,6081,2337,2299,476
Saitama 191,"Speed force, time travel, infinite mass punch",35145,A powerful warrior from another universe.,2698,4446,3910,28
Dio 192,"Super strength, flight, laser vision",209543,A powerful warrior from another universe.,,4898,9287,400
Rengoku 193,"Soul reaper powers, bankai, hollow form",150686,A powerful warrior from another universe.,,5219,7891,24
Rimuru 194,"Speed force, time travel, infinite mass punch",930085,A powerful warrior from another universe.,,4467,621,246
Naruto 195,"Speed force, time travel, infinite mass punch",818295,A powerful warrior from another universe.,,2935,4089,396
Endeavor 196,"Stand power, time stop, vampirism",295318,A powerful warrior from another universe.,,6856,8952,262
Thanos 197,"Combat knife, martial arts, stealth",862185,A powerful warrior from another universe.,,457,3077,202
Madara 198,"Slime abilities, unlimited shapeshifting",156856,A powerful warrior from another universe.,8652,3133,661,271
Levi 199,"Slime abilities, unlimited shapeshifting",740467,A powerful warrior from another universe.,,8153,9382,470
Jotaro 200,"Quirk: One for All, 100% Detroit Smash",62743,A powerful warrior from another universe.,,9440,295,99
Inosuke 201,"Ki manipulation, instant transmission, ultra instinct",452823,A powerful warrior from another universe.,8841,2300,9706,190
Kazuma 202,"Speed force, time travel, infinite mass punch",51452,A powerful warrior from another universe.,,1747,4238,9
Rengoku 203,None,886181,A powerful warrior from another universe.,,413,8534,279
Ichigo 204,"Combat knife, martial arts, stealth",916340,A powerful warrior from another universe.,1159,7171,1304,103
Todoroki 205,"Slime abilities, unlimited shapeshifting",226240,A powerful warrior from another universe.,2955,1501,9844,24
Tanjiro 206,"Super strength, flight, laser vision",781018,A powerful warrior from another universe.,8647,271,7778,199
Klein 207,"Sharingan, Rinnegan, Susanoo, genjutsu",774853,A powerful warrior from another universe.,75,1501,453,150
Darkness 208,"Super strength, flight, laser vision",915778,A powerful warrior from another universe.,,4958,4162,312
Yui 209,"Slime abilities, unlimited shapeshifting",281190,A powerful warrior from another universe.,7098,6589,4713,400
Thanos 210,"Titan shifter, 3D maneuver gear",980232,A powerful warrior from another universe.,,6868,6092,445
Jonathan 211,"Breathing techniques, demon slayer mark",297701,A powerful warrior from another universe.,,6592,5659,270
Eren 212,"Ki manipulation, instant transmission, ultra instinct",113910,A powerful warrior from another universe.,,3524,7872,261
Josuke 213,"Titan shifter, 3D maneuver gear",525549,A powerful warrior from another universe.,735,8994,3514,355
Ainz 214,"Ki manipulation, instant transmission, ultra instinct",535834,A powerful warrior from another universe.,,3133,3889,102
Leafa 215,"Breathing techniques, demon slayer mark",33901,A powerful warrior from another universe.,8191,4512,865,393
Aizen 216,"Speed force, time travel, infinite mass punch",569250,A powerful warrior from another universe.,433,1477,2857,114
Levi 217,"Speed force, time travel, infinite mass punch",20091,A powerful warrior from another universe.,6177,8536,1837,202
Jonathan 218,"Haki, devil fruit, conqueror haki",886276,A powerful warrior from another universe.,,4214,1951,35
Madara 219,None,765125,A powerful warrior from another universe.,,4345,3738,213
Eren 220,"Ki manipulation, instant transmission, ultra instinct",358319,A powerful warrior from another universe.,,3554,3072,18
Endeavor 221,"Super strength, flight, laser vision",720359,A powerful warrior from another universe.,7164,3643,1551,144
Spider Man 222,"Titan shifter, 3D maneuver gear",20763,A powerful warrior from another universe.,8933,6729,1549,98
Emilia 223,"Sharingan, Rinnegan, Susanoo, genjutsu",490313,A powerful warrior from another universe.,,6745,9798,92
Madara 224,"Haki, devil fruit, conqueror haki",741860,A powerful warrior from another universe.,,3180,1718,381
Inosuke 225,"Stand power, time stop, vampirism",898172,A powerful warrior from another universe.,7444,3966,1932,490
Leafa 226,"Haki, devil fruit, conqueror haki",3775,A powerful warrior from another universe.,,2335,4543,414
Deku 227,"Ki manipulation, instant transmission, ultra instinct",412230,A powerful warrior from another universe.,827,7734,4450,270
Saitama 228,"Haki, devil fruit, conqueror haki",647247,A powerful warrior from another universe.,1419,9206,6489,445
Jonathan 229,"Haki, devil fruit, conqueror haki",886722,A powerful warrior from another universe.,2265,4495,5177,76
Thor 230,"Ki manipulation, instant transmission, ultra instinct",21082,A powerful warrior from another universe.,,5722,7767,118
Leafa 231,None,158794,A powerful warrior from another universe.,3541,322,6370,13
Hawks 232,"Firearms, explosives, tactical genius",739100,A powerful warrior from another universe.,,6932,2327,133
Iron Man 233,"Sharingan, Rinnegan, Susanoo, genjutsu",38766,A powerful warrior from another universe.,7913,6348,6062,221
Inosuke 234,None,230561,A powerful warrior from another universe.,,1814,857,154
Yui 235,"Stand power, time stop, vampirism",983614,A powerful warrior from another universe.,5089,1027,7123,222
Erwin 236,"Sharingan, Rinnegan, Susanoo, genjutsu",320414,A powerful warrior from another universe.,,8184,1230,360
Hulk 237,"Breathing techniques, demon slayer mark",284459,A powerful warrior from another universe.,3012,3406,2952,395
Zenitsu 238,"Ki manipulation, instant transmission, ultra instinct",278803,A powerful warrior from another universe.,4285,7003,636,290
Iron Man 239,"Firearms, explosives, tactical genius",583390,A powerful warrior from another universe.,,7603,5524,18
Sasuke 240,"Titan shifter, 3D maneuver gear",406273,A powerful warrior from another universe.,,4607,6099,266
Kazuma 241,"Soul reaper powers, bankai, hollow form",91791,A powerful warrior from another universe.,3504,8144,2026,201
Levi 242,"Slime abilities, unlimited shapeshifting",724872,A powerful warrior from another universe.,6447,9437,1438,28
Madara 243,"Ki manipulation, instant transmission, ultra instinct",358799,A powerful warrior from another universe.,,1489,8728,33
Zoro 244,"Haki, devil fruit, conqueror haki",542227,A powerful warrior from another universe.,,6403,5538,51
Todoroki 245,"Breathing techniques, demon slayer mark",755563,A powerful warrior from another universe.,3952,6717,8307,222
Kakashi 246,"Titan shifter, 3D maneuver gear",805724,A powerful warrior from another universe.,9676,6684,6408,162
Ichigo 247,"Dark magic, undead army, time stop",572547,A powerful warrior from another universe.,,5155,929,311
Eren 248,"Dark magic, undead army, time stop",804264,A powerful warrior from another universe.,,478,6645,436
Josuke 249,None,711335,A powerful warrior from another universe.,1073,208,4905,63
Leafa 250,"Ki manipulation, instant transmission, ultra instinct",369334,A powerful warrior from another universe.,5130,9018,9560,273
Jotaro 251,"Haki, devil fruit, conqueror haki",991195,A powerful warrior from another universe.,,9122,3787,90
Kirito 252,"Speed force, time travel, infinite mass punch",632326,A powerful warrior from another universe.,360,7437,8847,195
Madara 253,"Titan shifter, 3D maneuver gear",139139,A powerful warrior from another universe.,256,9572,6348,218
Erwin 254,"Slime abilities, unlimited shapeshifting",316572,A powerful warrior from another universe.,,4085,5195,427
Spider Man 255,"Haki, devil fruit, conqueror haki",575911,A powerful warrior from another universe.,3,1189,5111,442
Rengoku 256,"Soul reaper powers, bankai, hollow form",485542,A powerful warrior from another universe.,,2827,3390,395
Thanos 257,"Quirk: One for All, 100% Detroit Smash",801110,A powerful warrior from another universe.,2362,707,8921,239
Aqua 258,"Speed force, time travel, infinite mass punch",651169,A powerful warrior from another universe.,,6752,632,158
Goku 259,"Titan shifter, 3D maneuver gear",40877,A powerful warrior from another universe.,3814,7847,3909,464
Ichigo 260,"Haki, devil fruit, conqueror haki",596878,A powerful warrior from another universe.,,7790,2476,289
Batman 261,"Speed force, time travel, infinite mass punch",813888,A powerful warrior from another universe.,5524,7506,9953,295
Gintoki 262,"Titan shifter, 3D maneuver gear",592980,A powerful warrior from another universe.,,2590,9125,118
Erwin 263,None,334870,A powerful warrior from another universe.,,6442,6403,225
Thor 264,"Sharingan, Rinnegan, Susanoo, genjutsu",756660,A powerful warrior from another universe.,,2645,879,134
Naruto 265,"Dark magic, undead army, time stop",668798,A powerful warrior from another universe.,1141,6079,263,235
Superman 266,None,98185,A powerful warrior from another universe.,4427,2552,3508,222
Jonathan 267,"Stand power, time stop, vampirism",867606,A powerful warrior from another universe.,6618,6397,3175,317
Naruto 268,"Sharingan, Rinnegan, Susanoo, genjutsu",760186,A powerful warrior from another universe.,8991,4177,1742,219
Darkness 269,"Soul reaper powers, bankai, hollow form",693286,A powerful warrior from another universe.,2340,7428,2303,483
Endeavor 270,"Ki manipulation, instant transmission, ultra instinct",741348,A powerful warrior from another universe.,3836,5617,955,426
Agil 271,"Breathing techniques, demon slayer mark",589884,A powerful warrior from another universe.,,8497,5902,110
Darkness 272,"Haki, devil fruit, conqueror haki",624023,A powerful warrior from another universe.,7866,1517,9886,466
Jonathan 273,None,932824,A powerful warrior from another universe.,,1205,5353,95
Aqua 274,"Sharingan, Rinnegan, Susanoo, genjutsu",891693,A powerful warrior from another universe.,1695,1202,1526,293
Asuna 275,"Soul reaper powers, bankai, hollow form",645872,A powerful warrior from another universe.,4735,648,2581,278
