speed,strenght,iq,battleiq
138885,436062,216,293
981584,320605,246,9
725161,796353,26,81
243809,826192,123,238
372135,71026,123,84
253288,690600,77,150
181877,330699,300,87
491393,416566,260,161
56954,102256,67,47
819813,196365,216,264
922701,171286,284,298
241224,79072,32,228
254378,492569,46,233
632690,912725,213,20
246439,170261,58,195
827647,895815,26,204
466102,570216,295,257
708958,45525,233,138
954095,449815,300,71
486425,533962,0,211
756751,78490,278,288
17838,695336,207,168
613946,564419,187,88
130873,351354,46,114
372372,779575,157,188
618644,704824,7,42
368259,414812,98,4
387624,844491,21,235
669241,914091,28,180
891211,533303,45,259
715302,988667,39,71
858276,164983,34,232
244031,101311,112,207
691437,322962,65,141
71766,843363,146,111
183726,47282,264,91
52873,172356,41,109
363693,494668,32,97
894206,590901,203,55
511984,722693,287,42
835500,884290,252,265
399462,942636,264,55
798655,122843,17,37
460419,711362,297,192
449385,443536,259,218
222361,243649,132,101
378326,846918,166,156
735492,530085,266,19
817135,803245,91,54
495131,10088,79,188
607938,824052,200,235
320842,837142,164,231
994685,458878,240,207
885316,196759,248,229
90161,580079,225,7
671895,667257,80,145
494639,408450,194,198
430354,234801,204,80
235739,799880,292,50
889135,777490,153,87
238586,574038,174,175
674153,453607,152,263
265871,782486,68,284
541093,421523,28,264
5898,444791,175,108
847936,878578,273,240
468924,739547,241,82
741725,461099,245,292
698171,555,297,98
761271,230004,147,134
142897,133347,278,236
261475,751267,286,12
360421,780105,259,282
446014,171410,59,284
805884,908024,157,77
316527,58395,146,161
697126,935279,266,233
529085,634038,284,230
727891,766466,214,264
839855,551242,180,125
153250,984643,114,267
151540,407576,134,204
253276,578068,143,241
791651,314566,58,258
905856,71059,142,180
759388,685833,299,183
376133,525575,190,79
9378,416217,33,53
585449,154419,83,205
820633,298996,239,246
875153,300770,186,194
982374,686711,104,207
889636,155023,52,135
777814,282338,296,83
6276,233575,129,119
785682,526889,85,177
989552,431483,132,82
266010,658722,88,156
461128,974948,291,241
457155,342588,31,50
903307,598584,249,22
75712,344171,120,7
545805,502843,239,200
196394,787954,251,115
111042,50501,29,102
879138,811507,237,163
661162,592256,292,95
880604,103167,214,253
610030,452643,164,222
218344,341554,101,22
552080,184678,170,82
443691,10113,289,160
98647,28704,271,163
509765,102239,293,287
449378,691689,15,266
450509,388083,287,8
748060,199716,33,75
654427,380163,153,111
923982,349189,37,227
994615,317205,159,231
692143,23200,11,106
217951,251188,193,39
406007,848627,48,173
660979,341453,176,279
280305,396260,255,31
896208,419002,221,38
351019,486973,191,128
899034,93966,115,29
467664,931361,276,97
841799,581093,126,131
947247,224182,28,194
438040,570108,286,87
761642,841003,33,95
611909,608354,239,278
340242,488277,199,40
54103,902266,245,200
744494,40544,83,242
478641,718713,83,67
689340,946546,11,274
392489,195298,97,5
85444,973148,7,117
290421,305341,164,32
32670,460144,170,159
485725,737195,19,105
497458,772818,157,85
878168,23702,175,196
307953,518953,169,37
119248,530215,145,243
98381,771754,231,166
94215,744895,11,70
315620,323896,208,245
116927,617208,224,31
463482,476907,204,201
508463,769253,82,167
650906,410468,139,234
327404,125893,16,110
613625,790360,275,227
625224,144492,293,185
184898,998696,183,84
226946,273085,29,15
834518,600548,87,150
490757,712293,2,212
297412,965818,218,204
492646,270060,133,75
98052,870979,131,199
755095,517902,15,8
511585,29386,80,89
527188,872359,240,109
502502,676670,81,291
509595,584509,246,121
714595,477648,185,295
377133,317931,181,247
278435,279809,95,135
917095,993587,23,204
347096,294211,223,145
454686,973240,43,135
875008,663164,97,45
158213,590925,89,113
607730,208932,151,227
818286,668128,266,246
836397,962181,208,216
562375,264220,158,208
313124,310770,12,23
568755,494869,133,162
931964,241148,162,283
771539,229747,45,222
246172,997364,226,43
954947,852868,51,38
582768,746304,77,83
516231,454575,26,80
863067,545456,33,31
509711,299267,192,272
268793,687138,120,86
747792,999132,279,209
716697,743154,77,252
312845,78226,150,75
112268,43436,245,177
25639,989580,27,162
896969,448468,124,74
562716,988012,40,81
774631,354314,243,118
186693,892547,215,20
358843,421434,165,300
528672,50653,167,253
356832,656385,295,96
488557,602549,76,173
899482,318521,195,264
968876,984287,249,145
684740,755721,292,148
807648,851450,85,139
49724,300454,26,83
24850,575392,176,145
275498,464643,259,213
677986,695516,236,260
125052,646467,153,8
467815,264347,167,130
283188,964879,191,102
416420,972951,188,85
996217,92776,137,20
960578,729557,247,280
941040,781894,217,163
397926,467479,294,127
971736,712557,279,8
137066,399102,135,199
732868,694770,21,112
238098,511751,55,128
453277,318291,100,227
244593,555047,126,237
958673,934157,259,219
393470,342011,281,52
46176,920957,213,235
170321,253236,242,92
215021,137235,125,110
687298,233411,20,268
225560,891699,222,96
951441,566536,121,118
21625,816580,5,109
18020,573564,14,273
658474,586812,283,20
389785,124889,185,186
340424,371567,262,297
823023,561387,48,196
367245,823358,109,19
456001,107573,200,55
700582,711492,131,98
110138,278634,150,19
179360,310609,1,172
2286,788384,46,15
947285,467412,54,276
704528,697715,80,242
442496,633093,271,68
957497,796752,75,12
174942,34452,22,287
723515,577752,208,193
709135,315570,140,287
544465,652136,298,115
768257,201235,39,163
310508,386353,237,244
387304,568080,236,229
608631,473276,209,269
547538,3022,83,122
141623,548351,11,210
961778,472560,211,292
137743,802354,119,31
228575,881821,293,121
814553,402374,53,264
462446,848802,207,295
707141,282334,173,121
768778,38731,231,80
882473,505950,217,23
921097,730469,125,143
691581,899451,54,60
966447,385291,270,170
832378,784269,122,140
109313,865272,99,177
817234,637920,283,25
971406,796568,141,117
722128,295108,282,197
43899,231498,120,59
474808,248385,271,175
264446,449457,21,247
305856,9517,183,9
439253,308925,153,249
697587,18078,107,2
81932,730052,194,161
392732,29657,222,50
416495,214118,128,74
344483,393475,78,254
879845,145382,6,243
561034,366742,284,65
463923,628801,234,128
632748,452204,167,77
413636,913011,1,166
31606,534168,147,79
360540,498489,29,241
975389,31148,188,198
936701,171834,115,34
857066,543622,25,27
64503,746438,138,183
884741,533903,162,173
345626,337013,136,179
467894,249099,79,285
411538,998082,139,93
377980,501485,281,179
199295,537496,50,295
378209,876677,199,270
82927,406357,181,220
392860,741284,12,21
248081,834653,211,206
346344,469745,74,255
748201,389630,286,225
948910,235130,257,66
898313,539432,144,296
107300,288395,118,201
165601,71294,32,267
94657,982583,157,290
652376,766919,209,40
434422,643736,291,35
433564,47256,233,146
828403,4627,223,67
663464,474415,60,57
914370,567007,255,38
881981,288845,118,252
497613,392091,195,228
634143,185531,223,234
297041,412495,105,76
985270,911243,42,47
965682,586204,23,158
868502,223702,16,51
422374,129249,11,74
24503,401073,227,203
479026,981601,211,135
485842,303243,189,142
160523,29662,116,190
648742,318781,12,242
798549,565691,294,127
878179,886045,231,212
267595,625218,202,76
838178,886167,156,118
689817,526146,122,178
296734,141358,289,95
408240,605755,150,135
293772,525769,123,11
609759,654490,179,276
15971,591767,236,78
718994,351969,173,140
213148,278736,249,159
756416,186914,56,223
868733,253715,25,29
659497,141776,230,59
175093,403360,89,47
142943,261636,135,166
143044,357150,239,287
247523,894386,257,174
348246,728481,124,117
824177,983128,88,87
296515,278604,196,247
588888,547355,1,281
78509,570937,292,21
387874,505723,83,210
351642,839352,112,263
945161,25889,293,94
320964,247591,32,260
643841,269790,259,125
938847,497807,168,4
390652,707016,297,195
658159,944625,69,255
37258,267155,106,231
535489,566603,229,254
319444,806804,104,121
332819,771544,55,113
143019,764999,203,57
158672,320551,211,93
415857,429997,203,38
468400,223373,214,6
672142,151661,173,270
915980,674428,271,29
997181,231851,242,236
82898,363289,190,204
493262,93728,238,291
871590,225727,218,232
153677,321526,27,182
103584,117892,7,97
821253,726800,43,16
719185,768381,96,123
69904,453883,231,137
143921,952695,98,56
766320,248872,177,295
523360,232057,52,89
23959,706435,163,214
724946,352082,1,189
738000,749948,247,6
894352,11099,153,5
258560,698073,63,37
811687,84742,271,83
817981,308748,299,49
595784,666985,166,82
827153,467206,66,152
317645,920114,96,170
640310,933772,158,287
7047,178269,222,121
894238,38431,212,187
991286,644927,120,173
448874,660727,48,272
828295,62438,286,263
820949,332335,281,295
361403,440746,298,172
150400,768494,264,271
55749,255007,137,136
909720,335260,248,138
703777,159724,211,98
170215,842434,206,72
798821,236401,45,12
942885,756065,145,9
418484,988243,20,278
893425,551976,73,97
741886,743781,124,273
815305,623671,195,51
635948,943029,260,109
729027,741461,14,154
263462,565076,17,136
415362,607587,252,208
391879,842014,7,238
682737,951910,202,57
387809,303833,18,17
492814,84858,91,26
807470,89100,194,173
173634,300967,246,207
75161,831117,12,51
293725,643097,142,187
793811,867480,139,234
430477,915265,81,169
195789,923058,83,214
551316,511568,125,28
45685,529867,125,190
867669,416491,3,57
728577,667719,159,248
95054,824150,19,264
300039,282295,274,113
545128,302570,154,175
52333,929927,256,240
154478,216310,156,298
528650,769393,94,176
355992,511399,157,229
882042,827684,183,58
143598,716462,246,92
821076,940852,143,177
868748,727130,188,170
23612,517645,103,213
339456,564162,135,188
981384,359239,213,97
134484,591676,256,268
943834,689032,141,251
812064,748231,294,158
889986,657180,253,187
886337,92046,152,253
472640,91559,99,133
383769,204210,205,9
248049,395996,42,268
85835,867753,169,69
754416,21927,211,247
276562,868694,150,296
555405,772970,191,253
685974,771028,72,167
157475,672805,129,253
636948,54111,0,228
975380,174753,228,249
384337,409386,64,110
617260,406287,52,259
62388,940668,150,24
774852,906562,279,60
246627,409763,34,202
992484,884893,274,123
21161,599464,195,44
668911,30410,210,288
986734,510068,206,5
323700,133889,8,133
561083,529461,102,227
837798,59202,183,95
149723,430713,143,237
310516,16191,298,33
805968,781440,258,28
190185,713843,200,19
9863,16567,190,158
28012,712829,143,16
592769,783655,136,242
455169,682508,48,261
340767,881248,65,268
872940,636672,206,196
90034,929950,236,246
348733,212285,90,145
628792,393610,270,14
104051,101239,41,164
135696,330494,78,116
273375,929750,82,113
759024,646237,231,253
522226,672174,229,270
364059,66441,224,280
506006,975732,262,212
704216,306660,101,173
707249,971806,179,166
396427,167587,16,81
95298,680646,165,263
36017,831741,100,47
298384,476067,131,37
628348,507854,110,98
399434,122240,148,23
250856,873911,261,235
103987,543678,257,68
799969,943677,68,118
161212,777880,215,171
606778,433297,174,3
288060,671500,248,237
35936,325486,229,0
936311,65596,35,53
222387,52221,290,187
284788,623552,298,234
672962,869434,273,5
247485,640678,187,127
289086,91621,216,72
563481,627574,81,186
63545,410954,23,130
211809,795970,218,227
83927,562716,99,96
995180,178359,55,154
188508,697816,89,50
360386,422549,140,188
460671,33335,13,155
138585,598803,91,12
683235,516730,199,26
248862,258964,131,7
49088,171318,171,115
702003,752917,70,254
226984,464279,72,159
986003,670338,123,123
915108,355225,40,23
932544,475773,5,278
267747,303530,44,72
887551,876209,71,212
60622,494120,284,33
297992,24405,299,31
562745,85041,159,264
255401,471504,158,89
101766,16762,110,30
98082,543532,145,30
201341,227795,107,51
299935,998602,210,131
981422,27700,28,140
986227,149232,186,154
286984,955694,160,281
599792,393563,47,59
355679,493509,118,87
691142,686506,179,253
879223,208207,219,70
3164,91224,189,79
359736,853659,252,252
949984,499252,274,215
978411,57301,238,169
25347,87258,163,14
364056,16704,14,15
676978,424343,73,159
218694,504404,99,127
170338,63247,32,66
861160,856677,132,18
238520,856534,285,277
976719,960053,26,258
788958,105709,212,111
250899,862896,124,5
933862,269290,94,67
52473,413812,150,221
355459,336941,1,83
355657,610646,30,128
722518,335216,173,3
489898,391194,74,140
789581,266040,33,83
922806,666815,131,84
918447,370871,246,101
76712,3984,204,195
107513,233148,185,65
75922,615561,53,272
3099,128157,147,290
163232,865999,62,254
523534,50696,296,129
748418,377295,58,238
134937,294122,96,161
144581,83388,3,176
2885,806111,52,121
376840,316325,164,175
490116,575281,103,9
818794,746748,2,297
933098,488449,155,58
475181,511498,231,201
166884,338076,238,266
27584,366059,136,276
228983,337975,203,66
817274,605099,252,90
235850,205162,290,31
445819,79284,95,180
873903,108040,95,75
316771,872991,258,217
30534,372615,109,295
37040,22823,86,261
128180,649561,4,43
863235,516537,133,281
58456,996712,68,89
940556,411821,235,46
191317,871531,185,32
386283,892042,194,137
466744,650226,180,218
940116,815898,293,224
587680,139599,200,111
672834,932234,127,129
147155,284615,152,252
219508,841407,94,85
20046,743352,77,242
721416,504915,296,268
694453,756577,250,207
157357,208260,184,84
462877,147858,271,8
112004,622548,202,144
456836,896294,221,125
612452,840603,255,41
695755,1030,62,24
385446,406686,12,23
337786,245911,44,73
922754,353825,158,31
985736,668262,64,218
759295,620838,257,217
963090,478855,288,191
305491,136231,212,195
121899,161664,253,230
818263,837106,272,300
14390,637080,233,227
997351,851602,263,201
228921,940963,116,125
501892,30651,290,117
607306,324270,168,150
688768,303998,6,43
381408,761465,114,283
816342,5658,138,8
792326,870957,62,182
392304,363985,45,31
462097,616869,66,87
175128,97913,123,219
680874,922023,83,118
687005,482542,193,89
686892,99987,27,173
524157,305888,290,108
130531,799550,276,226
798646,333386,198,8
637416,714052,218,233
527432,775796,102,153
997907,542920,42,282
789433,854403,208,86
500151,605919,235,287
262993,756999,167,201
699161,882689,298,183
380482,65744,262,254
863817,667480,229,198
434913,644828,254,145
635683,902774,175,179
891138,77367,123,193
248145,132780,153,62
946418,489967,213,50
721958,165582,233,105
323130,56566,280,299
119563,309508,38,183
52557,674727,208,80
971931,544429,118,121
279067,820274,245,49
736088,647672,111,12
686448,594466,97,103
674814,209713,175,212
216843,298525,60,283
278277,636322,198,100
282228,345306,137,109
46067,221651,24,130
719410,531916,121,163
949146,473068,283,187
869189,110548,148,249
340188,344881,251,281
773010,871176,128,157
562948,534487,49,285
516317,166633,37,182
431578,462642,185,280
34142,269544,16,168
935766,670997,121,82
318181,379592,152,16
35445,374557,248,148
328227,860615,65,151
16122,221504,80,134
172943,841856,31,67
677215,560640,204,251
718386,147387,155,129
133940,80915,104,160
440176,21655,38,285
219141,66374,161,174
24389,793434,266,261
110987,285938,122,36
848760,263038,183,289
344762,866960,231,217
835799,478432,169,255
681017,482807,288,57
228894,808189,148,108
777286,353217,75,32
586276,119810,174,207
611659,269592,31,108
299952,216598,114,84
213229,349326,202,187
572955,566015,251,70
173453,205707,249,268
558979,727018,232,102
203204,911090,217,172
884963,839113,131,216
705396,90265,36,83
705817,304344,229,175
180032,956699,192,248
840708,870696,255,124
540980,740782,254,8
436793,378789,176,131
144111,517714,240,252
199838,155820,117,12
630345,923875,244,277
755732,949701,18,228
385739,411105,54,213
579452,556596,108,118
340775,699510,25,126
836011,748211,261,74
161505,958864,196,241
585332,467488,184,63
588078,967980,130,257
507185,786582,290,61
12229,344825,292,77
744797,444055,194,87
842135,497420,231,268
790843,174637,68,299
459093,647988,16,166
963999,20553,116,282
578407,568113,254,144
135928,967877,15,23
349659,254281,37,57
129965,834077,18,23
991779,58671,186,244
227415,446177,142,295
320909,58475,64,103
288068,663789,243,52
499032,683175,46,1
883766,589938,246,151
838461,445572,240,167
467177,94866,126,97
898827,241795,27,226
437943,387167,235,211
171853,469361,288,87
671163,859719,24,94
697772,968907,188,283
596797,408588,2,242
820591,627980,66,233
99737,941421,126,114
628652,976133,204,289
273548,764474,188,249
176219,204226,258,124
108652,120397,150,64
762991,964319,75,19
263068,809079,179,52
102692,277297,85,96
636169,381981,268,193
202941,378748,159,187
434046,769260,268,277
479175,937230,244,285
151290,580396,181,259
649160,313553,214,240
38176,862760,15,140
652012,255246,204,201
929905,468492,240,165
532982,946607,206,268
366850,432343,285,190
260958,309284,229,288
269007,958959,185,174
844524,861258,222,217
500890,419661,58,114
468350,42783,70,7
965647,258890,24,113
105989,714057,265,237
54547,185955,279,8
526106,88946,146,114
111985,811408,133,224
281993,258420,287,54
181897,635299,116,92
382233,22502,25,188
512867,193954,91,212
338561,512870,244,240
393812,941895,115,75
723287,519332,40,191
642828,253922,157,15
95611,211338,64,65
827645,481275,268,0
989034,80168,187,86
224276,498695,223,4
377700,120136,95,11
378269,247441,253,236
597781,817499,86,129
624025,323102,142,4
888321,580071,207,260
374215,647167,34,38
672416,6817,229,245
878872,45126,165,9
120294,751869,221,108
400261,279683,234,110
263963,648860,205,12
385965,22633,56,85
725618,422869,45,81
898543,926867,3,77
551274,976585,10,269
560314,868046,94,150
368530,277854,300,237
466312,459278,198,10
453974,638318,130,154
889502,275504,268,151
883149,99359,242,193
232952,479108,219,217
566973,767164,208,1
141567,751965,290,268
890089,843642,163,139
133881,611297,100,69
829083,539183,89,219
870738,191761,252,109
862825,68465,97,59
684570,319361,45,235
41107,705421,279,43
686968,371810,100,201
207397,675394,110,126
121567,773223,164,227
410615,2778,32,67
477874,444515,91,137
658717,840993,220,81
528861,738103,19,235
101752,275433,12,82
726257,311722,70,190
43586,805234,68,228
714001,313476,121,271
377572,47332,132,91
933939,757177,126,292
611141,539029,290,87
744578,380304,225,197
637204,499319,148,293
670599,111541,19,264
438446,116871,252,6
708574,850394,233,32
825520,736271,117,171
673706,516812,258,5
939738,303446,276,28
263955,703673,90,1
931640,542218,150,203
277772,558621,186,144
708511,483689,160,5
744036,928073,41,257
278234,614127,23,31
453458,956680,36,159
167311,148082,97,79
640960,874958,226,268
907918,753016,290,135
780153,278136,103,139
478726,510334,132,85
78080,210151,133,196
394033,788916,227,290
641103,85196,106,255
907981,337579,182,116
833135,583283,63,105
208161,790895,278,50
656818,87791,84,111
926757,180668,204,189
104236,265646,58,4
949077,904057,232,102
161209,783526,161,78
407877,52864,136,184
339366,936322,169,220
615535,441165,267,101
702272,309908,249,174
259172,528918,137,232
829857,893001,73,203
412926,426201,133,106
11722,336173,122,159
225492,723631,164,123
60435,269604,286,3
42542,312806,295,265
961772,679529,264,214
61384,70930,168,112
296363,515079,112,192
77881,818482,186,128
300235,216565,250,51
812433,742368,147,38
847265,530743,188,131
472307,974844,264,237
593357,359696,141,115
669450,793997,258,217
75397,261998,95,107
856821,199031,16,256
903631,893074,71,144
973474,481373,81,25
625907,579981,54,220
481153,997389,244,254
461329,958086,288,13
196810,329996,170,50
417072,530042,45,235
609695,785430,219,178
318833,441717,86,279
650407,21967,97,239
182759,164221,11,244
367263,253512,300,183
171354,885739,214,274
215498,329807,92,171
914777,632372,251,212
294549,102878,120,51
527061,186878,16,119
247624,433984,75,194
484471,280914,127,58
143200,848416,153,91
739429,130538,85,109
696521,182255,88,285
887654,794688,176,26
307774,179140,144,244
759899,663379,61,217
931264,625761,209,98
59820,822491,61,56
575951,691413,106,200
899341,341077,266,178
415424,846749,69,226
998508,180248,41,78
100430,887514,198,211
293842,813064,186,118
12452,480852,7,54
226990,399046,157,121
142012,463325,291,289
960725,124760,15,120
40694,937888,187,126
921916,294202,262,98
450677,934002,193,123
17962,320478,265,139
653966,761758,20,141
924390,345130,277,137
975796,52270,87,154
793476,983216,152,174
486620,849955,69,54
822335,463720,126,187
307660,750761,39,271
439224,398645,162,230
712011,258542,23,253
824810,374500,281,193
816864,760363,154,257
868267,184324,208,272
829942,623131,253,265
945165,191526,287,184
144529,503899,185,284
316653,734885,237,159
35963,963190,42,269
869294,164325,107,136
686681,833589,225,23
826515,243728,254,217
543617,975482,135,218
730557,342627,1,170
970029,683402,166,282
908818,413769,114,269
222009,855692,195,197
44688,834090,212,167
101827,274752,70,46
509744,986039,291,227
80374,133861,125,28
657195,928928,205,179
392932,931767,92,269
149882,183590,161,235
174705,302470,146,31
407352,21344,32,144
284587,156377,261,208
345073,999765,126,209
758189,613546,41,201
757266,849068,244,90
614453,259192,21,261
423630,263419,50,144
30799,518805,16,269
930687,540127,295,124
83006,766287,272,257
645046,854221,147,55
322722,328075,170,144
970132,931033,226,245
631641,754490,300,9
574583,405604,157,162
484431,776796,110,280
359388,29837,218,198
347050,312807,102,137
501171,988387,279,74
828301,772051,87,72
490362,362954,203,149
899440,73293,31,214
664976,399373,39,23
624307,746957,4,241
173949,814176,123,224
237978,831362,22,271
461646,635768,2,298
157667,469696,265,137
935836,482941,29,196
677591,253483,21,15
524341,563936,210,79
45211,998159,233,262
836565,793981,223,101
333164,179986,149,5
110132,127011,19,98
489469,513470,66,92
210486,153926,119,111
113465,471055,258,275
653151,458877,188,83
13177,614533,170,143
89097,827421,182,91
589237,381375,279,228
185763,557253,256,188
730600,228360,284,127
861910,289144,247,73
762293,295635,118,45
314808,476219,134,73
835872,681141,26,89
171795,179135,18,226
415761,529856,269,227
896602,253220,127,7
142729,941015,297,234
784877,794771,216,7
349762,586977,241,48
915003,884038,139,170
678829,442426,163,218
878898,352155,29,174
640562,423925,105,278
289464,653611,82,204
746208,259531,266,280
231518,281648,113,126
257837,339928,75,156
498306,169623,24,104
217392,188483,221,290
983592,544909,92,206
137422,305977,9,287
228353,386578,78,178
504512,73201,196,43
653593,167,251,59
585941,682027,23,61
426496,426301,137,219
270730,106376,223,173
27062,894165,196,213
436594,795814,188,117
429536,951131,173,292
481941,367791,240,274
454952,688066,25,284
244867,213712,176,127
417552,293244,101,161
453426,206901,170,146
436513,864333,265,35
257518,159614,207,164
602508,684770,115,89
98621,893890,221,197
294408,899244,76,234
250160,874656,265,274
144453,790665,185,235
173861,81161,259,229
277183,652405,201,79
559512,209383,12,86
440203,519001,5,62
177461,834828,112,292
553677,542648,176,2
590407,33238,149,26
76007,559206,63,272
338636,580316,67,219
587852,818319,78,165
856147,934770,198,62
767380,483606,8,296
720242,109825,135,258
709263,364052,42,15
92620,207875,64,30
240238,616339,224,62
972647,156125,191,97
325442,702890,62,181
579666,156568,30,65
955539,804196,55,158
715082,751648,269,288
645456,647162,157,209
628997,102845,92,88
314860,811221,18,3
172896,524088,228,205
918230,72369,17,34
896791,640996,78,138
712239,134146,5,196
878332,994064,158,229
292220,849700,291,87
487101,270196,62,275
267781,816101,137,19
737188,326871,105,16
845264,297796,28,188
924855,886390,54,211
360345,638279,9,113
267960,892852,270,219
846259,477753,33,98
670780,340797,201,79
645819,396456,46,37
789914,380917,138,254
515065,268017,6,47
730787,783439,216,165
110401,444394,215,278
970944,561170,227,223
428579,59628,36,130
954891,442524,78,33
379269,451105,79,203
899893,370621,7,0
310183,138010,242,236
424701,405357,174,56
527848,724098,103,41
597455,536826,276,17
530697,18042,50,179
627239,848838,58,33
319194,562761,212,100
129994,231238,117,294
805386,110755,196,141
392843,191201,84,5
257810,210632,60,175
502063,902697,207,198
333236,765020,86,55
902275,747047,62,119
978184,679195,44,15
389446,598365,209,164
249277,708031,99,145
681499,560088,20,241
759923,439218,240,201
506174,835647,235,79
753494,961896,142,120
741556,80277,91,97
42853,330454,13,193
80871,925939,155,27
730325,28645,255,153
948141,747640,101,193
606898,630304,240,209
17306,945615,274,201
202180,876689,9,42
632979,926810,192,282
401988,154983,194,1
247987,791784,144,269
369296,465477,64,31
773387,558512,100,10
427276,585061,196,247
833311,718813,148,50
87986,232737,288,82
152168,380889,290,53
255475,19345,207,23
298774,244735,35,245
37955,517148,33,0
165349,280081,94,296
205790,789099,144,249
150411,914996,214,236
759237,326116,142,160
928290,939090,172,165
930761,551513,264,2
30935,932611,69,280
359661,56155,75,52
711388,450857,208,35
12358,336118,49,186
463725,92304,166,219
953824,31972,202,19
88903,731911,96,76
303112,276222,93,102
674763,229558,167,34
811361,975387,83,273
624229,215205,59,190
326883,52797,172,131
522466,513743,114,273
860684,604058,140,198
889930,807771,61,269
539846,350103,284,35
183402,230185,15,294
698558,907306,138,115
659803,582414,127,66
548595,598496,149,265
374739,438353,42,278
614777,904782,150,178
143616,65267,98,75
296078,654751,143,268
262648,445646,176,9
972773,870414,175,176
831277,272696,240,269
812783,529488,3,229
263002,919157,216,94
271778,797979,281,288
657364,698385,200,56
410752,897039,248,128
645598,31652,82,122
434711,131841,268,71
868019,18766,185,170
427890,391008,2,69
538456,112223,144,92
760648,626567,206,212
235850,322748,268,51
895871,503540,123,3
791409,675915,210,124
674726,237755,270,145
177061,272514,182,245
868360,974130,20,283
517057,66971,229,103
769441,633138,224,278
108000,597707,279,168
91103,958717,68,269
652052,788132,94,246
830258,682790,66,58
697281,957339,28,15
829401,749419,264,108
681104,87900,159,70
433538,154768,40,93
856037,291470,207,75
307888,763390,249,204
504306,696106,36,14
801533,567124,188,173
92857,425505,19,247
437850,352059,106,280
938193,638945,290,255
988022,76506,24,46
727117,914917,145,165
216802,552172,230,195
419187,554429,297,92
684565,716282,12,260
895304,442018,114,212
822404,95108,75,203
783139,132401,274,120
45808,712891,224,122
90220,896499,63,32
56726,124730,85,179
221644,313260,25,84
